title,type,location,bedrooms,bathrooms,price_qar,area_sqm,district,city,segment,type_encoded,cluster
Modern 3 BHK APT | Fully Furnished | In Al Mansura,Apartment,"Al Mansoura, Al Mansoura, Doha",3.0,3.0,7000,200.0,Al Mansoura,Doha,Budget,0,0
Bills Included | Luxury 1 Bedroom | No Commission,Apartment,"Lusail Residence, Marina District, Lusail",1.0,2.0,7569,86.0,Marina District,Lusail,Budget,0,0
LUXURY 2BR | MARINA VIEW | PORTO ARABIA | For Rent,Apartment,"East Porto Drive, Porto Arabia, The Pearl Island, Doha",2.0,3.0,10000,175.0,The Pearl Island,Doha,Budget,0,0
LUSAIL NEW 1BHK FURNISHED SHORT TERM RENT NO FEE,Apartment,"Al Erkyah City, Lusail",1.0,2.0,5500,60.0,Al Erkyah City,Lusail,Budget,0,0
"LUSAIL 1BHK SHORT TERM OPTION BILLS INCL, POOL GYM",Apartment,"Al Erkyah City, Lusail",1.0,2.0,5500,60.0,Al Erkyah City,Lusail,Budget,0,0
Elegant 3 BR | Full Sea View | Don’t Miss Out,Apartment,"Tower 29, Viva Bahriyah, The Pearl Island, Doha",3.0,4.0,14000,190.0,The Pearl Island,Doha,Luxury,0,1
LUSAIL 1BHK POOL GYM SHORT OR YEARLY RENT DEAL,Apartment,"Al Erkyah City, Lusail",1.0,2.0,5500,60.0,Al Erkyah City,Lusail,Budget,0,0
FULLY FURNISHED | 1 BEDROOM | BILLS INCLUDED,Apartment,"West Porto Drive, Porto Arabia, The Pearl Island, Doha",1.0,2.0,7620,90.0,The Pearl Island,Doha,Budget,0,0
SHORT TERM 1BHK LUSAIL POOL GYM BILLS INCLUDED,Apartment,"Al Erkyah City, Lusail",1.0,2.0,5500,60.0,Al Erkyah City,Lusail,Budget,0,0
Offer!!! 1 Br | SF | Closed Balcony | Low Floor,Apartment,"Viva East, Viva Bahriyah, The Pearl Island, Doha",1.0,2.0,6000,90.0,The Pearl Island,Doha,Budget,0,0
BRAND NEW | SPACIOUS | 2 BEDROOMS | FF | MARINA,Apartment,"Lusail Residence, Marina District, Lusail",2.0,3.0,10000,150.0,Marina District,Lusail,Budget,0,0
Picturesque 1 Bedroom | Modern Living | Great Deal,Apartment,"Crystal Residence, Gewan Island, The Pearl Island, Doha",1.0,2.0,9000,90.0,The Pearl Island,Doha,Budget,0,0
LUXURY 1BHK DOHA JADEEDA POOL GYM BILLS INCL,Apartment,"Banks street, Musheireb, Doha",1.0,2.0,4700,60.0,Musheireb,Doha,Budget,0,0
POOL GYM BILLS INCL FURNISHED 1BHK NO COMMISSION,Apartment,"Banks street, Musheireb, Doha",1.0,2.0,4700,60.0,Musheireb,Doha,Budget,0,0
HOT DEAL | 2 BEDROOMS | FULLY FURNISHED | MARINA,Apartment,"Lusail Residence, Marina District, Lusail",2.0,3.0,10000,150.0,Marina District,Lusail,Budget,0,0
STYLISH APARTMENT | 2 BEDROOMS | FULLY FURNISHED,Apartment,"West Bay Tower, West Bay, West Bay, Doha",2.0,3.0,8500,150.0,West Bay,Doha,Budget,0,0
FURNISHED 1BHK DOHA JADEEDA POOL GYM BILLS INCL,Apartment,"Banks street, Musheireb, Doha",1.0,2.0,4700,60.0,Musheireb,Doha,Budget,0,0
MODERN | 2 BEDROOMS | FULLY FURNISHED,Apartment,"West Bay Tower, West Bay, West Bay, Doha",2.0,3.0,8500,150.0,West Bay,Doha,Budget,0,0
2 BEDROOMS | NEWLY RENNOVATED | FULLY FURNISHED,Apartment,"West Bay Tower, West Bay, West Bay, Doha",2.0,3.0,8500,150.0,West Bay,Doha,Budget,0,0
PREMIUM 3BRS | FULLY FURNISHED | MOVE IN READY,Apartment,"Lusail Residence, Marina District, Lusail",3.0,4.0,15000,191.0,Marina District,Lusail,Luxury,0,1
NEWLY RENNOVATED | 2 BEDROOMS | FULLY FURNISHED,Apartment,"West Bay Tower, West Bay, West Bay, Doha",2.0,3.0,8500,150.0,West Bay,Doha,Budget,0,0
FURNISHED 2BHK | AL MANSOURA | NO COMMISSION,Apartment,"Al Mansoura, Al Mansoura, Doha",2.0,2.0,5250,60.0,Al Mansoura,Doha,Budget,0,0
NO COMMISSION FURNISHED 2BHK AL MANSOURA MEERA,Apartment,"Al Mansoura, Al Mansoura, Doha",2.0,2.0,5250,60.0,Al Mansoura,Doha,Budget,0,0
FURNISHED 2BHK AL MANSOURA NEAR AL MEERA NO FEE,Apartment,"Al Mansoura, Al Mansoura, Doha",2.0,2.0,5250,60.0,Al Mansoura,Doha,Budget,0,0
Renovated Luxurious Two Bedroom Apt in Zig Zag,Apartment,"Zig Zag Tower A, Zig Zag Towers, West Bay, Doha",2.0,2.0,6500,100.0,West Bay,Doha,Budget,0,0
Spacious UF 3 BR with Balcony at Prime Location,Apartment,"Musheireb Apartments, Musheireb, Doha",3.0,3.0,6500,160.0,Musheireb,Doha,Budget,0,0
Bills Included | High-Quality Finishes | Sea View,Apartment,"Crystal Residence, Gewan Island, The Pearl Island, Doha",2.0,4.0,15000,160.0,The Pearl Island,Doha,Budget,0,0
Best Value 3BR FF | Ideal for Families | Najma,Apartment,"Najma 28, Ibn Dirhem Street, Najma, Doha",3.0,2.0,6500,150.0,Najma,Doha,Budget,0,0
Spacious 5-Bedroom Furnished Villa + Maid Room,Villa,"Abraj Bay, Abraj Quartiers, The Pearl Island, Doha",5.0,6.0,41000,651.0,The Pearl Island,Doha,Luxury,1,1
Spacious FF 2 Bedroom Apartment  | Lusail City,Apartment,"Seef Waterfront, Lusail City, Lusail",2.0,2.0,9500,160.0,Lusail City,Lusail,Budget,0,0
Furnished 2 Bedroom Apt I Seaview I Bills Included,Apartment,"Floresta Gardens, Floresta Gardens, The Pearl Island, Doha",2.0,3.0,13500,130.0,The Pearl Island,Doha,Budget,0,0
2 MONTHS & BILLS FREE| BEACHFRONT & PRIVATE POOL,Villa,"Abraj Bay, Abraj Quartiers, The Pearl Island, Doha",5.0,6.0,41000,300.0,The Pearl Island,Doha,Luxury,1,1
FURNISHED 2BHK NAJMA CLOSE TO AIRPORT ROAD NO FEE,Apartment,"Capital One Building, Najma, Doha",2.0,2.0,5000,100.0,Najma,Doha,Budget,0,0
Luxury 3BHK + Maid | Al Nasr | Full Amenities,Apartment,"Al Nasr Street, Al Nasr, Doha",3.0,4.0,10500,140.0,Al Nasr,Doha,Budget,0,0
4-Bedroom Villa| Ain Khalid Gate | Fully Furnished,Villa,"Ain Khalid Gate, Ain Khaled, Doha",4.0,4.0,15000,240.0,Ain Khaled,Doha,Luxury,1,1
LUXURY 1 BHK APT | PRIME LOCATION | HIGHEST FLOOR,Apartment,"Marina Tower 23, Marina District, Lusail",1.0,2.0,7000,100.0,Marina District,Lusail,Budget,0,0
LUXURY 2 BHK APT| PANORAMIC VIEW | HIGH FLOOR,Apartment,"Burj DAMAC Marina, Marina District, Lusail",2.0,3.0,10000,150.0,Marina District,Lusail,Budget,0,0
FULLY FURNISHED | 2 BEDROOMS | READY FOR OCCUPANCY,Apartment,"Residential D5, Fox Hills South, Fox Hills, Lusail",2.0,2.0,9800,150.0,Fox Hills,Lusail,Budget,0,0
MOVE IN READY | FULLY FURNISHED | 2 BEDROOMS,Apartment,"Lusail Residence, Marina District, Lusail",2.0,3.0,9858,128.0,Marina District,Lusail,Budget,0,0
FF Modern 2BR | Exclusive Privileges,Apartment,"Alfardan Residential Tower, Alfardan Towers, West Bay, Doha",2.0,3.0,12500,185.0,West Bay,Doha,Budget,0,0
3 FBR Apt | Resort-Style Living and Privileges,Apartment,"Al Gassar Resort, West Bay, Doha",3.0,4.0,15000,186.0,West Bay,Doha,Luxury,0,1
Bills Included | Luxury 1BR+Office | Premium Tower,Apartment,"Floresta Gardens, Floresta Gardens, The Pearl Island, Doha",1.0,2.0,8030,89.0,The Pearl Island,Doha,Budget,0,0
Modern 2FBR Apartment | Bin Mahmoud,Apartment,"Home-Al Fina’a, Abdullah Bin Masoud Street, Fereej Bin Mahmoud, Doha",2.0,2.0,8500,143.0,Fereej Bin Mahmoud,Doha,Budget,0,0
Modern 2FBR Apartment | Exclusive Privileges,Apartment,"Al Gassar Resort, West Bay, Doha",2.0,3.0,12000,125.0,West Bay,Doha,Budget,0,0
BRAND NEW | 2 BEDROOMS | FF | CITY VIEW,Apartment,"Lusail Residence, Marina District, Lusail",2.0,3.0,10000,150.0,Marina District,Lusail,Budget,0,0
